Campaign ID,Campaign Name,Platform,Date,Region,Spend,Impressions
C501,Summer Sale 2025,GoogleAds,2026-07-10,North America,9800,300000
C502,Back To School,FB,2026-07-10,N.A.,4700,260000
C503,Holiday Launch,Facebook,2026-07-10,"Europe, Middle East, Africa",8600,240000
C504,Winter Clearance,IG,2026-07-10,Latin America,3000,90000
C505,New Year Promo,AmazonDSP,2026-07-10,Asia Pacific,2500,88000
C506,Product Launch — Adobe Firefly,Amazon DSP,2026-07-10,n/a,5200,150000
C507,Q3 Brand Awareness,Google_Ads,2026-07-10,Northern America,4100,95000
C508,End of Season Sale,google ads,2026-07-10,NA,3300,101000
C509,Spring Refresh,Instagram,2026-07-10,EMEA,2900,84000
C510,Prime Day Push,facebook,2026-07-10,APAC,6100,175000
